region,Label Index,FDrad,Curvature
Precentral_L,1,0.14319149,0.062053133
Precentral_R,2,0.27351421,0.076342553
Frontal_Sup_L,3,0.13035557,0.082628757
Frontal_Sup_R,4,0.17235638,0.084267192
Frontal_Sup_Orb_L,5,0.12339187,0.1606877
Frontal_Sup_Orb_R,6,0.10961119,0.14564528
Frontal_Mid_L,7,0.19468921,0.06954325
Frontal_Mid_R,8,0.24749738,0.067755021
Frontal_Mid_Orb_L,9,0.13797744,0.10587158
Frontal_Mid_Orb_R,10,0.1717914,0.092597827
Frontal_Inf_Oper_L,11,0.29609883,0.11795222
Frontal_Inf_Oper_R,12,0.28899267,0.14238818
Frontal_Inf_Tri_L,13,0.22867697,0.11630832
Frontal_Inf_Tri_R,14,0.32285264,0.14364159
Frontal_Inf_Orb_L,15,0.31722414,0.080046497
Frontal_Inf_Orb_R,16,0.31613106,0.072596841
Rolandic_Oper_L,17,0.37302214,0.14508185
Rolandic_Oper_R,18,0.46640575,0.13264729
Supp_Motor_Area_L,19,0.26226783,0.10668546
Supp_Motor_Area_R,20,0.21535364,0.09330067
Olfactory_L,21,,0.20734902
Olfactory_R,22,0.044719893,0.21083874
Frontal_Sup_Medial_L,23,0.22644734,0.12380178
Frontal_Sup_Medial_R,24,0.22323383,0.11826339
Frontal_Med_Orb_L,25,0.32652172,0.021521075
Frontal_Med_Orb_R,26,0.34591225,0.014400441
Rectus_L,27,0.19843781,0.17005499
Rectus_R,28,0.15446848,0.12630346
Insula_L,29,,0.13968486
Insula_R,30,,0.15516394
Cingulum_Ant_L,31,,0.030832766
Cingulum_Ant_R,32,,0.085339524
Cingulum_Mid_L,33,,0.051522113
Cingulum_Mid_R,34,,0.17708105
Cingulum_Post_L,35,,0.083556876
Cingulum_Post_R,36,,0.4852263
ParaHippocampal_L,39,0.072177731,0.1418092
ParaHippocampal_R,40,0.1323619,0.14220172
Calcarine_L,43,0.29677677,0.12295627
Calcarine_R,44,0.33494544,0.17362939
Cuneus_L,45,0.25191525,0.13222037
Cuneus_R,46,0.26520482,0.14319669
Lingual_L,47,0.35986429,0.13038068
Lingual_R,48,0.34778586,0.14072661
Occipital_Sup_L,49,0.30307773,0.063603595
Occipital_Sup_R,50,0.22136052,0.094275512
Occipital_Mid_L,51,0.31587827,0.064665534
Occipital_Mid_R,52,0.29887509,0.096212752
Occipital_Inf_L,53,0.30382523,0.090236798
Occipital_Inf_R,54,0.30042458,0.071959101
Fusiform_L,55,0.32677504,0.078129239
Fusiform_R,56,0.34440875,0.057513501
Postcentral_L,57,0.1454569,0.071378238
Postcentral_R,58,0.2591058,0.066158548
Parietal_Sup_L,59,,0.067359529
Parietal_Sup_R,60,0.19452871,0.075773023
Parietal_Inf_L,61,0.39693809,0.056123253
Parietal_Inf_R,62,0.35915667,0.067218758
SupraMarginal_L,63,0.46850431,0.12468709
SupraMarginal_R,64,0.44704142,0.14328802
Angular_L,65,0.38938418,0.061700996
Angular_R,66,0.34983131,0.050834108
Precuneus_L,67,0.35727653,0.099273369
Precuneus_R,68,0.35033879,0.1460337
Paracentral_Lobule_L,69,0.09088508,0.10162135
Paracentral_Lobule_R,70,0.025236361,0.14136897
Heschl_L,79,,0.13766532
Heschl_R,80,,0.18195327
Temporal_Sup_L,81,0.40080625,0.122425
Temporal_Sup_R,82,0.40451762,0.13467789
Temporal_Pole_Sup_L,83,0.21835551,0.19295122
Temporal_Pole_Sup_R,84,0.24971192,0.17052446
Temporal_Mid_L,85,0.39222229,0.059010107
Temporal_Mid_R,86,0.44781491,0.065906689
Temporal_Pole_Mid_L,87,0.19265546,0.17703408
Temporal_Pole_Mid_R,88,0.095990613,0.16050954
Temporal_Inf_L,89,0.33450419,0.045216288
Temporal_Inf_R,90,0.33378157,0.05233369
