Sample Index,Regional Label,ex vivo MRI Radial FD,Vimentin_λ1,MAP2_λ1
L1,"Superior frontal, medial part",0.22644734,1.5639,2.1719
L3,Superior temporal gyrus,0.40080625,2.1809,2.3325
L4,Inferior temporal gyrus,0.33450419,2.2168,2.5079
L5,Precuneus,0.35727653,2.2197,2.4153
L7,Inferior occipital,0.30382523,2.1829,2.5131
R1,"Superior frontal, medial part",0.22323383,1.4558,2.3486
R3,Superior temporal gyrus,0.40451762,2.848,2.8643
R4,Inferior temporal gyrus,0.33378157,1.796,2.5836
R5,Precuneus,0.35033879,2.1044,2.5587
R6,Lingual,0.34778586,2.5589,2.6974
R7,Inferior occipital,0.30042458,Not included,2.5345
