Region Label,Tini_curvature,Tinit-FDrad,FDR_p_Tini-curvature,FDR_p_Tini-FDrad,FDR_p_fit_curvature,FD_p_fit_FDrad,Time within range,Significant flag,Inclusion flag
Precentral_L,24.8434139501039,27.6721129983367,<1.00E-14,<1.00E-14,1.31621819565632e-47,1.52807685190029e-14,1,1,1
Precentral_R,24.4249674895017,28.5551658385578,<1.00E-14,<1.00E-14,3.63762468880906e-47,1.67387664280873e-10,1,1,1
Frontal_Sup_L,29.7143355782897,29.59896970132,<1.00E-14,<1.00E-14,7.47623153062651e-46,1.22832004752746e-11,1,1,1
Frontal_Sup_R,29.1776062905636,29.4389813982422,<1.00E-14,<1.00E-14,2.0636363414713e-44,4.62317414718159e-12,1,1,1
Frontal_Sup_Orb_L,30.5005741047911,27.5693571678443,<1.00E-14,<1.00E-14,8.84832050074172e-15,1.71360251168339e-05,1,1,1
Frontal_Sup_Orb_R,31.255154659675,32.5378265061041,<1.00E-14,<1.00E-14,7.23963934317846e-15,0.0175776416830635,1,1,1
Frontal_Mid_L,27.7989083148998,29.2186224837433,<1.00E-14,<1.00E-14,3.30584723275348e-52,2.46516110297811e-16,1,1,1
Frontal_Mid_R,27.6043599495684,29.3098986927113,<1.00E-14,<1.00E-14,3.28862300429036e-49,9.42298052316588e-14,1,1,1
Frontal_Mid_Orb_L,24.5098911870215,27.4903784824588,,<1.00E-14,0.273985766613576,8.0062338687253e-08,1,0,0
Frontal_Mid_Orb_R,23.8327286834817,33.3934476850703,0.00991477610937907,<1.00E-14,0.91494594846387,1.86511025441693e-10,1,0,0
Frontal_Inf_Oper_L,26.5085012859027,26.5204773290299,<1.00E-14,<1.00E-14,3.79578480860222e-30,4.22738095890467e-11,1,1,1
Frontal_Inf_Oper_R,25.960386604932,26.778943389783,<1.00E-14,<1.00E-14,8.45606921596957e-29,4.5146471749533e-05,1,1,1
Frontal_Inf_Tri_L,21.3195429119244,27.0716874648204,0.000114127772176939,<1.00E-14,1.78889636575028e-30,1.73350827169963e-12,0,1,0
Frontal_Inf_Tri_R,24.4208505046386,27.8046225258754,<1.00E-14,<1.00E-14,7.30671636821444e-32,3.78710407831709e-08,1,1,1
Frontal_Inf_Orb_L,24.4647774185464,26.2575198416204,<1.00E-14,<1.00E-14,1.91966463200619e-31,8.49127497767187e-15,1,1,1
Frontal_Inf_Orb_R,24.4924991454108,28.7545092230149,<1.00E-14,<1.00E-14,7.13168987280161e-33,4.20323076968432e-06,1,1,1
Rolandic_Oper_L,-20.3445731996898,20.4038998339967,0.999811800296658,0.0489232181616969,4.43191141172919e-29,3.04840904005869e-10,0,0,0
