t,"curvature, k3 = 0","curvature, k3 = 0.06","curvature, k3 = 0.13","curvature, k3 = 0.21","curvature, k3 = 0.28","curvature, k3 = 0.33","diameter, k = 0","diameter, k = 0.06","diameter, k = 0.13","diameter, k = 0.21","diameter, k = 0.28","diameter, k = 0.33",0°: κ = 0 (radially aligned),30°: κ = 0.06,45°: κ = 0.13,60°: κ = 0.21,75°: κ = 0.28,90°: κ = 0.33 (isotropic)
0,0.5555818145198359,0.5555827166443964,0.555583031,0.5555830563260828,0.5555830598925123,0.5555830608118457,1.8000004380421553,1.800000274,1.8000001685886808,1.800000136094552,1.8000001245902144,1.800000121602873,1.00004750950396,1.000049042189578,1.0000495494650101,1.0000495769987763,1.0000495770267348,1.0000495770218187
0.01,0.5551432542356658,0.555207031658476,0.555272207,0.5553268440578828,0.5553595171242477,0.555368358108223,1.8014072283863114,1.801199277,1.800986959596326,1.8008096986936541,1.8007037178515328,1.8006748701058606,1.0000390709700282,1.000038504008563,1.0000380038332717,1.0000379667243737,1.0000379472298648,1.0000378460974295
0.02,0.5545309811469564,0.554686250934626,0.554847833,0.554996828453004,0.5550888675719989,0.555115114793922,1.80338227836506,1.802873682,1.8023457515163426,1.8018603955348445,1.8015607929877109,1.8014748535342053,1.0000313442048103,1.000029243577285,1.0000276345455992,1.000026804836914,1.0000263404416607,1.0000259201180042
0.03,0.5537826524896576,0.5540373114073646,0.554316904,0.5545922670499907,0.554768847650363,0.5548217242855504,1.8058066509570763,1.804969571,1.8040534224095675,1.8031536818830176,1.8025772845476244,1.8024036715927858,1.000024397050475,1.0000204882889443,1.0000173077606755,1.0000150882750405,1.000013722949206,1.0000127129317165
0.04,0.5529271842733295,0.5532807901470458,0.553688918,0.5541145621181527,0.5543984557724474,0.5544875086726291,1.808587437395553,1.807421094,1.8060797815515983,1.8046852145719094,1.803756240198013,1.8034631047061416,1.00001715927124,1.000011371016758,1.0000063600689808,1.000002357433618,0.9999996741556941,0.9999977639115133
0.05,0.5519916175103469,0.5524360614988364,0.552974327,0.5535661083968286,0.5539772512655573,0.5541120858913751,1.81163764434358,1.810166515,1.8083920237470212,1.8064479492665662,1.805099417148247,1.804654488536189,1.0000087936438473,1.0000012602036743,0.9999943622836772,0.9999883612969247,0.9999840133728455,0.9999808629560203
0.06,0.5509961686822831,0.5515210242680265,0.552183798,0.5529500543849224,0.5535051175411299,0.553695204749589,1.8148923645816244,1.813148729,1.8109567433496543,1.808432628073526,1.806607768126471,1.8059789662992813,0.9999987394552043,0.9999896441683503,0.9999809725565233,0.9999729200447243,0.9999666450475606,0.9999618935185317
0.07,0.5499591142882211,0.5505508815189659,0.551327832,0.5522699409252564,0.5529822859674657,0.5532367632685402,1.8182924744751132,1.816319185,1.8137410258910434,1.8106288391629661,1.8082812558590582,1.8074373303243307,0.9999865187792711,0.9999761284215597,0.9999659076139649,0.9999558820420968,0.9999475025370617,0.9999407784393641
0.08,0.5488927205931965,0.5495378224906364,0.550415993,0.5515295566496401,0.5524093264429057,0.5527368109039609,1.821798320089001,1.819638931,1.8167148831710924,1.8130254168157545,1.8101188167088869,1.8090299561760566,0.9999718362857668,0.9999604158609294,0.9999489264184959,0.999937104330922,0.9999265163197858,0.9999174488064856
0.09,0.5478056349997934,0.548491490012818,0.549456808,0.5507334769334401,0.5517870749635169,0.5521954654069163,1.825381927096482,1.823077127,1.819851542281166,1.81560862552321,1.812118602052303,1.810757073609515,0.9999545056902349,0.9999422897965174,0.9999298194556865,0.9999164510847417,0.9999036229134175,0.9998918450006721
