criterion,n_regions,pearson_r,median_delta_weeks
manuscript_inclusion,52,0.14468020241315774,-0.1478268097139388
qc_basic,58,0.23168149180755174,-0.1478268097139388
qc_ciwidth_4w,22,0.6243193454277752,-0.5312033135082608
qc_ciwidth_6w,36,0.5403217588095915,-0.5509523897824273
qc_ciwidth_8w,45,0.28451447274697916,-0.4502912494233655
qc_ciwidth_10w,52,0.19270641021911805,-0.1478268097139388
qc_r2_0_1,57,0.21614601803144065,0.05508373355556628
qc_r2_0_2,52,0.25836125425005785,-0.1478268097139388
qc_r2_0_3,48,0.2821816095895544,0.08367676900530263
qc_r2_0_4,33,0.2830857427369202,0.11577614262296265
