Region Label,Tinit-FDrad,Tini_curvature,hemi
Precentral_L,27.6721129983367,24.8434139501039,L
Precentral_R,28.5551658385578,24.4249674895017,R
Frontal_Sup_L,29.59896970132,29.7143355782897,L
Frontal_Sup_R,29.4389813982422,29.1776062905636,R
Frontal_Sup_Orb_L,27.5693571678443,30.5005741047911,L
Frontal_Sup_Orb_R,32.5378265061041,31.255154659675,R
Frontal_Mid_L,29.2186224837433,27.7989083148998,L
Frontal_Mid_R,29.3098986927113,27.6043599495684,R
Frontal_Inf_Oper_L,26.5204773290299,26.5085012859027,L
Frontal_Inf_Oper_R,26.778943389783,25.960386604932,R
Frontal_Inf_Tri_R,27.8046225258754,24.4208505046386,R
Frontal_Inf_Orb_L,26.2575198416204,24.4647774185464,L
Frontal_Inf_Orb_R,28.7545092230149,24.4924991454108,R
Supp_Motor_Area_L,29.3758920102076,25.3722243239785,L
Supp_Motor_Area_R,29.8772052504089,26.0686250838403,R
Olfactory_R,26.2020874549559,27.8312133549109,R
Frontal_Sup_Medial_L,29.7598603940001,29.4449076881018,L
Frontal_Med_Orb_L,25.3250033301464,28.9348765684292,L
Frontal_Med_Orb_R,26.1749587352225,30.5172333926412,R
ParaHippocampal_L,26.5475222575682,27.1380106824684,L
Calcarine_L,24.3224566935815,27.33207677838,L
Calcarine_R,25.4214185564531,26.0451983457934,R
Cuneus_L,25.6960243407697,24.9861321886636,L
Cuneus_R,26.4599509879554,29.3492515830195,R
Lingual_L,24.3673668448065,29.972854672587,L
Lingual_R,27.3610904949644,29.3012537356415,R
Occipital_Sup_L,26.1936019365847,27.2758001839388,L
Occipital_Sup_R,27.9404407103507,27.6157270610675,R
Occipital_Mid_L,26.8230408896707,28.26747263618,L
Occipital_Mid_R,28.7707847273811,28.9164598270938,R
Occipital_Inf_L,29.5995647309746,28.8403861793,L
Occipital_Inf_R,29.6300598627369,28.7513516220955,R
Fusiform_L,29.4138313541428,28.1662339896927,L
Fusiform_R,33.2076195280397,28.1277318400782,R
Postcentral_L,26.8589537878746,23.6344720334235,L
Postcentral_R,27.1605953369045,23.3801140891033,R
Parietal_Sup_L,28.5105817796941,27.9024046921605,L
Parietal_Sup_R,29.1268250947112,28.3596492935111,R
Parietal_Inf_L,25.6405678751692,26.8935456385801,L
Parietal_Inf_R,27.2590836097441,27.5115202213709,R
Angular_L,26.4221095655476,26.9684431451229,L
Angular_R,27.4152763092754,27.1610446507035,R
Precuneus_L,26.8424522774706,27.6374523590309,L
Precuneus_R,27.1296936206738,26.5727774370475,R
Paracentral_Lobule_L,27.1237774691853,24.9930791456695,L
Paracentral_Lobule_R,29.1785484531935,25.2751438730175,R
Temporal_Sup_R,25.0553186141288,24.6465410044287,R
Temporal_Mid_L,26.5254904454299,27.669392343402,L
Temporal_Mid_R,27.6000242929154,26.4548248472767,R
Temporal_Pole_Mid_L,33.3265936606647,34.6993724577743,L
Temporal_Inf_L,29.8562148909291,29.7209898325554,L
Temporal_Inf_R,30.5830667156539,30.0306969512836,R
