GA,pearson_r,spin_p_two_sided,spin_q_BH_16weeks,spin_p_maxT_FWER,independent_hemi_spin_p_sensitivity
23,-0.4084582140145547,0.0877912208779122,0.0970569609705696,0.2110788921107889,0.0246975302469753
24,-0.4386583823928375,0.0322967703229677,0.0516748325167483,0.1350864913508649,0.0038996100389961
25,-0.5368747243942887,0.0071992800719928,0.0143985601439856,0.0203979602039796,0.0005999400059994
26,-0.5866344238888535,0.0010998900109989,0.0058660800586608,0.0062993700629937,9.999000099990002e-05
27,-0.5642615544007734,0.0047995200479952,0.0109703315382747,0.0103989601039896,0.0001999800019998
28,-0.6058859350068291,0.0008999100089991,0.0058660800586608,0.0023997600239976,9.999000099990002e-05
29,-0.5691127745367943,0.0004999500049995,0.0058660800586608,0.0091990800919908,9.999000099990002e-05
30,-0.5127631197440631,0.0028997100289971,0.0109703315382747,0.0340965903409659,0.0001999800019998
31,-0.4634662271151278,0.0037996200379962,0.0109703315382747,0.0853914608539146,0.0003999600039996
32,-0.4496861920759017,0.0043995600439956,0.0109703315382747,0.1130886911308869,0.0002999700029997
33,-0.2950450377446816,0.0661933806619338,0.0962812809628128,0.6488351164883511,0.0234976502349765
34,-0.3131922787551438,0.0236976302369763,0.0421291204212912,0.5668433156684332,0.0067993200679932
35,-0.2329896420587214,0.0805919408059194,0.0970569609705696,0.8704129587041296,0.0523947605239476
36,-0.3191638882188822,0.090990900909909,0.0970569609705696,0.5408459154084592,0.0232976702329767
37,-0.2826855425703508,0.0836916308369163,0.0970569609705696,0.6978302169783022,0.024997500249975
38,-0.0739070139265457,0.6767323267673233,0.6767323267673233,1.0,0.5862413758624138
